TITLE,EXTENT,SOURCE TITLE,AUTHOR,SOURCE,SOURCE/TYPE,PUBLISHER,PUBDATE,PUBNAME,GENRE,DOMAIN,SUBDOMAIN,AUTHOR GENDER,AUTHOR AGE,ID,ID/TYPE,DOCUMENTATION,,,,
wsj_0006,39,Wall Sreet Journal wsj_0006 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0026,215,Wall Sreet Journal wsj_0026 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0027,237,Wall Sreet Journal wsj_0027 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0032,79,Wall Sreet Journal wsj_0032 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0068,82,Wall Sreet Journal wsj_0068 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0073,119,Wall Sreet Journal wsj_0073 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0106,101,Wall Sreet Journal wsj_0106 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0120,831,Wall Sreet Journal wsj_0122 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0124,159,Wall Sreet Journal wsj_0124 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0127,169,Wall Sreet Journal wsj_0127 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0132,176,Wall Sreet Journal wsj_0132 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0135,90,Wall Sreet Journal wsj_0135 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0136,144,Wall Sreet Journal wsj_0136 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0144,178,Wall Sreet Journal wsj_0144 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0150,133,Wall Sreet Journal wsj_0150 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0151,184,Wall Sreet Journal wsj_0151 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0152,126,Wall Sreet Journal wsj_0152 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0157,163,Wall Sreet Journal wsj_0157 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0158,325,Wall Sreet Journal wsj_0158 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0159,177,Wall Sreet Journal wsj_0159 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0160,120,Wall Sreet Journal wsj_0160 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0161,125,Wall Sreet Journal wsj_0161 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0165,158,Wall Sreet Journal wsj_0165 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0167,130,Wall Sreet Journal wsj_0167 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0168,147,Wall Sreet Journal wsj_0168 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0169,123,Wall Sreet Journal wsj_0169 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0171,164,Wall Sreet Journal wsj_0171 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0172,153,Wall Sreet Journal wsj_0172 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0173,183,Wall Sreet Journal wsj_0173 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0175,130,Wall Sreet Journal wsj_0175 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0176,163,Wall Sreet Journal wsj_0176 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0184,314,Wall Sreet Journal wsj_0184 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0187,252,Wall Sreet Journal wsj_0187 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
wsj_0189,269,Wall Sreet Journal wsj_0189 ,,Linguistic Data Consortium,Distributor,Dow Jones Inc.,1989,The Wall Street Journal,WR NP,Commerce,finance,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bed012,6870,ICSI Meeting corpus - Bed012,,International Computer Science Institute,Contributed,International Computer Science Institute,2000-2002,,SP FF,academic discourse,,,,,,http://www.icsi.berkeley.edu/Speech/mr/icsimc_doc/index.html,,,,
Bmr021,7512,ICSI Meeting corpus - Bmr021,,International Computer Science Institute,Contributed,International Computer Science Institute,2000-2002,,SP FF,academic discourse,,,,,,http://www.icsi.berkeley.edu/Speech/mr/icsimc_doc/index.html,,,,
interview_nathan_hole,3371,Interview with Nathan Hole,Lauren (anonymous),ANC contribution upload,Contributed,,Nov. 1 2008,,WR ES,Social Science,Sociology,female,<30,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CUP1,6142,Deformation and river response (chapter 2 of Active Tectonics and Alluvial Rivers),"Stanley A. Schumm, Jean F. Dumont and John M. Holbrook ",Cambridge University Press,Publisher,,"Feb, 2002",,WR NF,Natural Science,Geology,,,9780521890588,ISBN,,,,,
CUP2,5445,"The future of boundaryless careers (Chapter 7,  pp. 101-114, of The Future of Career, Eds. Audrey Collin,  Richard A. Young)","Suellen M. Littleton, Michael B. Arthur and Denise M. Rousseau",Cambridge University Press,Publisher,,2000,,WR NF,Organizational Science,Psychology,,,9780511520853,ISBN,,,,,
,,,,,,,,,,,,,,,,,,,,
